Client_ID;Nom_Client;Segment;Ville;Region;Pays;Date_Creation;Statut
C0001;Client 001 - Distribution;ETI;Boulogne-Billancourt;Île-de-France;France;2022-04-03;Actif
C0002;Client 002 - Solutions;PME;Créteil;Île-de-France;France;2021-03-07;Inactif
C0003;Client 003 - Services;PME;Lille;Nord;France;2024-02-24;Actif
C0004;Client 004 - Industrie;PME;Avignon;Sud;France;2022-07-24;Actif
C0005;Client 005 - Services;ETI;Saint-Denis;Île-de-France;France;2022-07-24;Actif
C0006;Client 006 - Distribution;PME;Strasbourg;Est;France;2023-01-06;Actif
C0007;Client 007 - Retail;ETI;Toulon;Sud;France;2024-01-04;Actif
C0008;Client 008 - Distribution;ETI;Le Mans;Ouest;France;2023-01-11;Actif
C0009;Client 009 - Distribution;ETI;Saint-Denis;Île-de-France;France;2021-06-13;Actif
C0010;Client 010 - Industrie;PME;Saint-Denis;Île-de-France;France;2021-11-30;Actif
C0011;Client 011 - Retail;ETI;Lille;Nord;France;2024-06-01;Actif
C0012;Client 012 - Services;PME;Toulon;Sud;France;2022-07-07;Actif
C0013;Client 013 - Services;ETI;Marseille;Sud;France;2022-04-15;Actif
C0014;Client 014 - Industrie;PME;Metz;Est;France;2024-03-07;Actif
C0015;Client 015 - Services;ETI;Colmar;Est;France;2024-08-09;Actif
C0016;Client 016 - Services;PME;Mulhouse;Est;France;2024-01-09;Actif
C0017;Client 017 - Industrie;Grand Compte;Toulon;Sud;France;2023-01-12;Actif
C0018;Client 018 - Solutions;PME;Lille;Nord;France;2021-08-13;Actif
C0019;Client 019 - Industrie;ETI;Arras;Nord;France;2023-02-21;Actif
C0020;Client 020 - Solutions;PME;Le Mans;Ouest;France;2021-01-24;Actif
C0021;Client 021 - Solutions;ETI;Saint-Denis;Île-de-France;France;2021-08-17;Actif
C0022;Client 022 - Industrie;PME;Tourcoing;Nord;France;2023-10-23;Actif
C0023;Client 023 - Distribution;Grand Compte;Montpellier;Sud;France;2024-08-01;Actif
C0024;Client 024 - Services;PME;Roubaix;Nord;France;2024-01-10;Actif
