Transaction_ID;Date_Commande;Client_ID;Produit_ID;Commercial_ID;Quantite;Prix_Unitaire;Remise_Pct;Canal;Statut_Commande
V00001;2025-09-18;C0135;P001;COM06;8;433,97 €;10,0%;Téléphone;Livrée
V00002;2026-03-29;C0102;P030;COM08;12;142,06 €;15,0%;Commercial terrain;Livrée
V00003;2026-01-29;C0143;P017;COM07;7;46,11 €;8,0%;Commercial terrain;Livrée
V00004;2025-01-23;C0117;P001;COM06;10;432,00 €;15,0%;E-commerce;Annulée
V00005;2026-05-24;C0082;P024;COM03;4;308,49 €;8,0%;Commercial terrain;Livrée
V00006;2025-04-10;C0012;P031;COM10;1;181,72 €;10,0%;Téléphone;Livrée
V00007;2025-10-30;C0095;P013;COM10;4;52,54 €;8,0%;Commercial terrain;Annulée
V00008;2026-05-29;C0077;P018;COM03;8;76,68 €;3,0%;Commercial terrain;Livrée
V00009;2026-04-25;C0021;P016;COM01;11;75,17 €;5,0%;Commercial terrain;Livrée
V00010;2026-02-09;C0005;P037;COM02;2;197,09 €;10,0%;Commercial terrain;Annulée
V00011;2026-01-26;C0111;P016;COM09;8;68,43 €;8,0%;Commercial terrain;Annulée
V00012;2025-08-15;C0018;P021;COM04;11;302,93 €;0,0%;E-commerce;Livrée
V00013;2025-11-08;C0146;P007;COM05;4;387,79 €;0,0%;Partenaire;En cours
V00014;2026-01-15;C0124;P029;COM03;11;151,36 €;5,0%;Partenaire;Livrée
V00015;2025-02-03;C0109;P031;COM03;8;190,52 €;15,0%;Commercial terrain;Livrée
V00016;2026-01-12;C0105;P027;COM09;5;186,81 €;0,0%;Partenaire;Livrée
V00017;2025-08-06;C0007;P023;COM09;4;222,96 €;15,0%;Téléphone;Livrée
V00018;2026-07-22;C0056;P016;COM01;6;75,65 €;15,0%;E-commerce;Livrée
V00019;2025-05-29;C0036;P013;COM08;2;56,39 €;0,0%;Téléphone;Livrée
V00020;2026-01-02;C0068;P002;COM04;3;740,46 €;0,0%;Partenaire;Annulée
V00021;2025-04-27;C0018;P031;COM04;6;180,15 €;0,0%;Partenaire;Annulée
V00022;2025-08-15;C0013;P032;COM10;11;148,80 €;0,0%;Partenaire;En cours
V00023;2026-03-13;C0029;P031;COM04;2;189,31 €;3,0%;Téléphone;Livrée
V00024;2025-05-10;C0078;P026;COM06;10;313,85 €;5,0%;Partenaire;Livrée
V00025;2025-04-28;C0059;P031;COM04;4;177,79 €;15,0%;Partenaire;En cours
V00026;2026-03-02;C0026;P030;COM06;6;150,10 €;3,0%;Téléphone;En cours
V00027;2025-03-10;C0025;P006;COM09;7;471,10 €;10,0%;Commercial terrain;Livrée
V00028;2026-07-24;C0017;P009;COM10;7;546,38 €;10,0%;Partenaire;Livrée
V00029;2025-10-22;C0088;P007;COM10;10;369,29 €;0,0%;Partenaire;Livrée
V00030;2025-04-21;C0103;P009;COM08;5;562,59 €;15,0%;Partenaire;Annulée
V00031;2026-07-25;C0008;P002;COM08;3;741,26 €;15,0%;Commercial terrain;Livrée
V00032;2025-12-26;C0003;P011;COM03;10;41,25 €;0,0%;Téléphone;Livrée
V00033;2025-04-04;C0059;P029;COM04;8;156,46 €;3,0%;Commercial terrain;Livrée
V00034;2026-08-05;C0023;P011;COM09;3;41,77 €;0,0%;E-commerce;Livrée
