Mois;Commercial_ID;Objectif_CA
2025-01-01;COM01;7600
2025-01-01;COM02;11600
2025-01-01;COM03;27700
2025-01-01;COM04;4700
2025-01-01;COM05;7500
2025-01-01;COM06;6000
2025-01-01;COM07;15100
2025-01-01;COM08;7600
2025-01-01;COM09;15600
2025-01-01;COM10;9900
2025-02-01;COM01;17200
2025-02-01;COM02;2700
2025-02-01;COM03;8000
2025-02-01;COM04;8300
2025-02-01;COM05;9100
2025-02-01;COM06;3300
2025-02-01;COM07;11000
2025-02-01;COM08;3000
2025-02-01;COM09;5000
2025-02-01;COM10;23900
2025-03-01;COM01;6200
2025-03-01;COM02;5200
2025-03-01;COM03;12600
2025-03-01;COM04;13400
2025-03-01;COM05;11300
2025-03-01;COM06;18400
2025-03-01;COM07;13300
2025-03-01;COM08;8700
2025-03-01;COM09;21400
2025-03-01;COM10;12900
2025-04-01;COM01;6200
2025-04-01;COM02;15300
2025-04-01;COM03;6100
2025-04-01;COM04;20700
2025-04-01;COM05;3600
2025-04-01;COM06;23600
2025-04-01;COM07;20700
2025-04-01;COM08;4900
2025-04-01;COM09;9600
2025-04-01;COM10;17400
2025-05-01;COM01;10300
2025-05-01;COM02;36500
2025-05-01;COM03;11600
2025-05-01;COM04;15900
2025-05-01;COM05;12100
2025-05-01;COM06;10700
2025-05-01;COM07;8600
2025-05-01;COM08;11100
2025-05-01;COM09;21500
2025-05-01;COM10;23400
2025-06-01;COM01;20900
2025-06-01;COM02;15900
2025-06-01;COM03;15100
2025-06-01;COM04;6100
2025-06-01;COM05;15000
2025-06-01;COM06;8900
2025-06-01;COM07;15500
2025-06-01;COM08;4000
2025-06-01;COM09;12600
2025-06-01;COM10;10500
2025-07-01;COM01;12700
2025-07-01;COM02;18400
2025-07-01;COM03;32100
2025-07-01;COM04;5900
2025-07-01;COM05;7700
2025-07-01;COM06;19900
2025-07-01;COM07;13100
2025-07-01;COM08;21800
2025-07-01;COM09;24900
2025-07-01;COM10;12200
2025-08-01;COM01;20600
2025-08-01;COM02;11700
2025-08-01;COM03;1000
2025-08-01;COM04;13800
2025-08-01;COM05;14900
2025-08-01;COM06;15600
2025-08-01;COM07;9600
2025-08-01;COM08;8000
2025-08-01;COM09;8200
2025-08-01;COM10;10300
2025-09-01;COM01;7500
2025-09-01;COM02;14700
2025-09-01;COM03;27700
2025-09-01;COM04;13000
2025-09-01;COM05;11100
2025-09-01;COM06;22100
2025-09-01;COM07;3400
2025-09-01;COM08;9600
2025-09-01;COM09;29300
2025-09-01;COM10;10700
2025-10-01;COM01;1300
2025-10-01;COM02;8600
2025-10-01;COM03;25500
2025-10-01;COM04;17800
2025-10-01;COM05;19000
2025-10-01;COM06;17400
2025-10-01;COM07;9900
2025-10-01;COM08;5400
2025-10-01;COM09;15800
2025-10-01;COM10;26300
2025-11-01;COM01;2800
2025-11-01;COM02;4800
2025-11-01;COM03;7300
2025-11-01;COM04;9600
2025-11-01;COM05;21600
2025-11-01;COM06;31200
2025-11-01;COM07;15000
2025-11-01;COM08;10400
2025-11-01;COM09;25000
2025-11-01;COM10;8500
2025-12-01;COM01;18000
2025-12-01;COM02;10700
2025-12-01;COM03;17500
2025-12-01;COM04;7900
2025-12-01;COM05;12200
2025-12-01;COM06;7100
2025-12-01;COM07;19300
2025-12-01;COM08;6200
2025-12-01;COM09;8900
2025-12-01;COM10;8900
2026-01-01;COM01;11700
2026-01-01;COM02;11800
2026-01-01;COM03;17400
2026-01-01;COM04;8100
2026-01-01;COM05;17600
2026-01-01;COM06;8200
2026-01-01;COM07;9000
2026-01-01;COM08;8000
2026-01-01;COM09;29500
2026-01-01;COM10;23500
2026-02-01;COM01;8600
2026-02-01;COM02;7400
2026-02-01;COM03;11600
2026-02-01;COM04;19600
2026-02-01;COM05;10600
2026-02-01;COM06;22400
2026-02-01;COM07;4000
2026-02-01;COM08;11400
2026-02-01;COM09;10200
2026-02-01;COM10;16900
2026-03-01;COM01;10500
2026-03-01;COM02;19400
2026-03-01;COM03;17100
2026-03-01;COM04;7300
2026-03-01;COM05;21600
2026-03-01;COM06;15400
2026-03-01;COM07;1600
2026-03-01;COM08;7200
2026-03-01;COM09;6000
2026-03-01;COM10;15300
2026-04-01;COM01;11500
2026-04-01;COM02;4000
2026-04-01;COM03;8300
2026-04-01;COM04;5300
2026-04-01;COM05;4800
2026-04-01;COM06;18200
2026-04-01;COM07;8900
2026-04-01;COM08;15900
2026-04-01;COM09;14100
2026-04-01;COM10;8900
2026-05-01;COM01;11600
2026-05-01;COM02;20100
2026-05-01;COM03;9500
2026-05-01;COM04;20700
2026-05-01;COM05;25400
2026-05-01;COM06;33200
2026-05-01;COM07;12100
2026-05-01;COM08;5000
2026-05-01;COM09;28700
2026-05-01;COM10;18900
2026-06-01;COM01;14800
2026-06-01;COM02;15300
2026-06-01;COM03;3100
2026-06-01;COM04;18600
2026-06-01;COM05;11300
2026-06-01;COM06;12800
2026-06-01;COM07;2700
2026-06-01;COM08;5000
2026-06-01;COM09;20200
2026-06-01;COM10;22300
2026-07-01;COM01;9300
2026-07-01;COM02;5400
2026-07-01;COM03;16200
2026-07-01;COM04;20700
2026-07-01;COM05;14500
2026-07-01;COM06;9400
2026-07-01;COM07;12800
2026-07-01;COM08;10700
2026-07-01;COM09;8800
2026-07-01;COM10;15800
2026-08-01;COM01;18500
2026-08-01;COM02;19000
2026-08-01;COM03;11600
2026-08-01;COM04;25900
2026-08-01;COM05;12100
2026-08-01;COM06;7100
2026-08-01;COM07;11100
2026-08-01;COM08;10200
2026-08-01;COM09;18800
2026-08-01;COM10;7200
2026-09-01;COM01;6600
2026-09-01;COM02;24400
2026-09-01;COM03;26700
2026-09-01;COM04;19100
2026-09-01;COM05;12000
2026-09-01;COM06;29200
2026-09-01;COM07;5400
2026-09-01;COM08;7100
2026-09-01;COM09;12400
2026-09-01;COM10;9600
2026-10-01;COM01;4200
2026-10-01;COM02;13900
2026-10-01;COM03;13400
2026-10-01;COM04;22000
2026-10-01;COM05;26000
2026-10-01;COM06;8600
2026-10-01;COM07;18500
2026-10-01;COM08;17100
2026-10-01;COM09;8100
2026-10-01;COM10;23500
2026-11-01;COM01;7300
2026-11-01;COM02;13800
2026-11-01;COM03;31200
2026-11-01;COM04;12600
2026-11-01;COM05;15200
2026-11-01;COM06;20500
2026-11-01;COM07;1400
2026-11-01;COM08;6100
2026-11-01;COM09;18000
2026-11-01;COM10;17800
2026-12-01;COM01;6700
2026-12-01;COM02;39700
2026-12-01;COM03;8200
2026-12-01;COM04;16100
2026-12-01;COM05;8400
2026-12-01;COM06;16200
2026-12-01;COM07;17200
2026-12-01;COM08;3700
2026-12-01;COM09;7200
2026-12-01;COM10;12900
